query,狙い,database,hits,retrieved,search_date,blocks,search_string
S4,単一サンプルスコアを個人の層別化に使う妥当性,Europe PMC,320,320,2026-08-20,PERSON AND SET AND SCORE AND VALIDITY,"(TITLE_ABS:""single-sample"" OR TITLE_ABS:""single sample"" OR TITLE_ABS:""per-patient"" OR TITLE_ABS:""patient-level"" OR TITLE_ABS:""individual-level"" OR TITLE_ABS:""per-sample"") AND (TITLE_ABS:""gene set"" OR TITLE_ABS:""gene signature"" OR TITLE_ABS:""gene signatures"" OR TITLE_ABS:""gene-set"" OR TITLE_ABS:""pathway"" OR TITLE_ABS:""gene expression signature"" OR TITLE_ABS:""gene expression signatures"" OR TITLE_ABS:""expression signature"" OR TITLE_ABS:""expression signatures"" OR TITLE_ABS:""transcriptional signature"" OR TITLE_ABS:""transcriptomic signature"") AND (TITLE_ABS:""score"" OR TITLE_ABS:""scoring"" OR TITLE_ABS:""enrichment"") AND (TITLE_ABS:""stratification"" OR TITLE_ABS:""stratify"" OR TITLE_ABS:""measurement validity"" OR TITLE_ABS:""construct validity"" OR TITLE_ABS:""measurement property"" OR TITLE_ABS:""measurement properties"" OR TITLE_ABS:""reliability"")"
S4,単一サンプルスコアを個人の層別化に使う妥当性,Europe PMC (preprint),44,44,2026-08-20,PERSON AND SET AND SCORE AND VALIDITY,"(TITLE_ABS:""single-sample"" OR TITLE_ABS:""single sample"" OR TITLE_ABS:""per-patient"" OR TITLE_ABS:""patient-level"" OR TITLE_ABS:""individual-level"" OR TITLE_ABS:""per-sample"") AND (TITLE_ABS:""gene set"" OR TITLE_ABS:""gene signature"" OR TITLE_ABS:""gene signatures"" OR TITLE_ABS:""gene-set"" OR TITLE_ABS:""pathway"" OR TITLE_ABS:""gene expression signature"" OR TITLE_ABS:""gene expression signatures"" OR TITLE_ABS:""expression signature"" OR TITLE_ABS:""expression signatures"" OR TITLE_ABS:""transcriptional signature"" OR TITLE_ABS:""transcriptomic signature"") AND (TITLE_ABS:""score"" OR TITLE_ABS:""scoring"" OR TITLE_ABS:""enrichment"") AND (TITLE_ABS:""stratification"" OR TITLE_ABS:""stratify"" OR TITLE_ABS:""measurement validity"" OR TITLE_ABS:""construct validity"" OR TITLE_ABS:""measurement property"" OR TITLE_ABS:""measurement properties"" OR TITLE_ABS:""reliability"")"
S5,取りこぼしを見る網（単一サンプルスコアの再現性一般）,PubMed,369,369,2026-08-20,SET_NARROW AND STABLE,"(""gene set score""[tiab] OR ""gene set scoring""[tiab] OR ""pathway score""[tiab] OR ""signature score""[tiab] OR ""ssGSEA""[tiab] OR ""GSVA""[tiab] OR ""singscore""[tiab] OR ""single-sample GSEA""[tiab] OR ""single sample gene set enrichment""[tiab]) AND (""reliability""[tiab] OR ""reproducibility""[tiab] OR ""stability""[tiab] OR ""robustness""[tiab] OR ""validity""[tiab] OR ""variability""[tiab])"
S5,取りこぼしを見る網（単一サンプルスコアの再現性一般）,Europe PMC,435,435,2026-08-20,SET_NARROW AND STABLE,"(TITLE_ABS:""gene set score"" OR TITLE_ABS:""gene set scoring"" OR TITLE_ABS:""pathway score"" OR TITLE_ABS:""signature score"" OR TITLE_ABS:""ssGSEA"" OR TITLE_ABS:""GSVA"" OR TITLE_ABS:""singscore"" OR TITLE_ABS:""single-sample GSEA"" OR TITLE_ABS:""single sample gene set enrichment"") AND (TITLE_ABS:""reliability"" OR TITLE_ABS:""reproducibility"" OR TITLE_ABS:""stability"" OR TITLE_ABS:""robustness"" OR TITLE_ABS:""validity"" OR TITLE_ABS:""variability"")"
S5,取りこぼしを見る網（単一サンプルスコアの再現性一般）,Europe PMC (preprint),74,74,2026-08-20,SET_NARROW AND STABLE,"(TITLE_ABS:""gene set score"" OR TITLE_ABS:""gene set scoring"" OR TITLE_ABS:""pathway score"" OR TITLE_ABS:""signature score"" OR TITLE_ABS:""ssGSEA"" OR TITLE_ABS:""GSVA"" OR TITLE_ABS:""singscore"" OR TITLE_ABS:""single-sample GSEA"" OR TITLE_ABS:""single sample gene set enrichment"") AND (TITLE_ABS:""reliability"" OR TITLE_ABS:""reproducibility"" OR TITLE_ABS:""stability"" OR TITLE_ABS:""robustness"" OR TITLE_ABS:""validity"" OR TITLE_ABS:""variability"")"
S6,スコア化に言及せず遺伝子セットの縦断安定性を測る研究,PubMed,250,250,2026-08-20,SET AND RETEST,"(""gene set""[tiab] OR ""gene signature""[tiab] OR ""gene signatures""[tiab] OR ""gene-set""[tiab] OR ""pathway""[tiab] OR ""gene expression signature""[tiab] OR ""gene expression signatures""[tiab] OR ""expression signature""[tiab] OR ""expression signatures""[tiab] OR ""transcriptional signature""[tiab] OR ""transcriptomic signature""[tiab]) AND (""test-retest""[tiab] OR ""test retest""[tiab] OR ""intraclass correlation""[tiab] OR ""repeat measurement""[tiab] OR ""repeated measurement""[tiab] OR ""repeated sampling""[tiab] OR ""longitudinal stability""[tiab] OR ""within-person stability""[tiab])"
S6,スコア化に言及せず遺伝子セットの縦断安定性を測る研究,Europe PMC,263,263,2026-08-20,SET AND RETEST,"(TITLE_ABS:""gene set"" OR TITLE_ABS:""gene signature"" OR TITLE_ABS:""gene signatures"" OR TITLE_ABS:""gene-set"" OR TITLE_ABS:""pathway"" OR TITLE_ABS:""gene expression signature"" OR TITLE_ABS:""gene expression signatures"" OR TITLE_ABS:""expression signature"" OR TITLE_ABS:""expression signatures"" OR TITLE_ABS:""transcriptional signature"" OR TITLE_ABS:""transcriptomic signature"") AND (TITLE_ABS:""test-retest"" OR TITLE_ABS:""test retest"" OR TITLE_ABS:""intraclass correlation"" OR TITLE_ABS:""repeat measurement"" OR TITLE_ABS:""repeated measurement"" OR TITLE_ABS:""repeated sampling"" OR TITLE_ABS:""longitudinal stability"" OR TITLE_ABS:""within-person stability"")"
S6,スコア化に言及せず遺伝子セットの縦断安定性を測る研究,Europe PMC (preprint),17,17,2026-08-20,SET AND RETEST,"(TITLE_ABS:""gene set"" OR TITLE_ABS:""gene signature"" OR TITLE_ABS:""gene signatures"" OR TITLE_ABS:""gene-set"" OR TITLE_ABS:""pathway"" OR TITLE_ABS:""gene expression signature"" OR TITLE_ABS:""gene expression signatures"" OR TITLE_ABS:""expression signature"" OR TITLE_ABS:""expression signatures"" OR TITLE_ABS:""transcriptional signature"" OR TITLE_ABS:""transcriptomic signature"") AND (TITLE_ABS:""test-retest"" OR TITLE_ABS:""test retest"" OR TITLE_ABS:""intraclass correlation"" OR TITLE_ABS:""repeat measurement"" OR TITLE_ABS:""repeated measurement"" OR TITLE_ABS:""repeated sampling"" OR TITLE_ABS:""longitudinal stability"" OR TITLE_ABS:""within-person stability"")"
S7,ランダム遺伝子集合を対照に使う研究（対照設計そのもの）,PubMed,1473,1472,2026-08-20,CONTROL,"(""random gene set""[tiab] OR ""random gene sets""[tiab] OR ""size-matched""[tiab] OR ""matched random""[tiab] OR ""background gene set""[tiab] OR ""null gene set""[tiab] OR ""permuted gene set""[tiab] OR ""random signature""[tiab] OR ""random signatures""[tiab] OR ""random gene expression signature""[tiab] OR ""random gene expression signatures""[tiab] OR ""randomly selected genes""[tiab] OR ""random gene lists""[tiab])"
S7,ランダム遺伝子集合を対照に使う研究（対照設計そのもの）,Europe PMC,1624,1624,2026-08-20,CONTROL,"(TITLE_ABS:""random gene set"" OR TITLE_ABS:""random gene sets"" OR TITLE_ABS:""size-matched"" OR TITLE_ABS:""matched random"" OR TITLE_ABS:""background gene set"" OR TITLE_ABS:""null gene set"" OR TITLE_ABS:""permuted gene set"" OR TITLE_ABS:""random signature"" OR TITLE_ABS:""random signatures"" OR TITLE_ABS:""random gene expression signature"" OR TITLE_ABS:""random gene expression signatures"" OR TITLE_ABS:""randomly selected genes"" OR TITLE_ABS:""random gene lists"")"
S7,ランダム遺伝子集合を対照に使う研究（対照設計そのもの）,Europe PMC (preprint),98,98,2026-08-20,CONTROL,"(TITLE_ABS:""random gene set"" OR TITLE_ABS:""random gene sets"" OR TITLE_ABS:""size-matched"" OR TITLE_ABS:""matched random"" OR TITLE_ABS:""background gene set"" OR TITLE_ABS:""null gene set"" OR TITLE_ABS:""permuted gene set"" OR TITLE_ABS:""random signature"" OR TITLE_ABS:""random signatures"" OR TITLE_ABS:""random gene expression signature"" OR TITLE_ABS:""random gene expression signatures"" OR TITLE_ABS:""randomly selected genes"" OR TITLE_ABS:""random gene lists"")"
